job,avgsalary,experience,jobX
Developer  QA or test,94665,39,8
Developer  QA or test,82585,4,8
Developer  QA or test,166438,40,8
Developer  QA or test,152908,41,8
Developer  QA or test,126443,42,8
Developer  QA or test,121215,43,8
Developer  QA or test,140477,44,8
Developer  QA or test,160000,45,8
Developer  QA or test,160000,46,8
Developer  QA or test,117000,47,8
Developer  QA or test,122172,48,8
Developer  QA or test,0,49,8
Developer  QA or test,50537,5,8
Developer  QA or test,362500,50,8
Developer  QA or test,60561,6,8
Developer  QA or test,65912,7,8
Developer  QA or test,81030,8,8
Developer  QA or test,72597,9,8
Developer  QA or test,46943,0.5,8
Developer  QA or test,108484,60,8
Student,33505,1,9
Student,80902,10,9
Student,44479,11,9
Student,46800,12,9
Student,65559,13,9
Student,40961,14,9
Student,56256,15,9
Student,102853,16,9
Student,143508,17,9
Student,92550,18,9
Student,36072,19,9
Student,36849,2,9
Student,54116,20,9
Student,0,21,9
Student,1090,22,9
Student,54103,23,9
Student,72695,24,9
Student,178095,25,9
Student,93701,26,9
Student,30000,27,9
Student,0,28,9
Student,125000,29,9
Student,33838,3,9
Student,0,30,9
Student,0,31,9
Student,3120,32,9
Student,0,33,9
Student,178000,34,9
Student,0,35,9
Student,0,36,9
Student,0,37,9
Student,0,38,9
Student,383916,39,9
Student,40931,4,9
Student,109590,40,9
Student,0,41,9
Student,0,42,9
Student,0,43,9
Student,0,44,9
Student,9036,45,9
Student,0,46,9
Student,0,47,9
Student,0,48,9
Student,0,49,9
Student,39049,5,9
Student,0,50,9
Student,38116,6,9
Student,38743,7,9
Student,31334,8,9
Student,66752,9,9
Student,13374,0.5,9
Student,0,60,9
Developer  mobileEducator,0,1,10
Developer  mobileEducator,0,10,10
Developer  mobileEducator,0,11,10
Developer  mobileEducator,0,12,10
Developer  mobileEducator,0,13,10
Developer  mobileEducator,0,14,10
Developer  mobileEducator,0,15,10
Developer  mobileEducator,0,16,10
Developer  mobileEducator,0,17,10
Developer  mobileEducator,0,18,10
Developer  mobileEducator,0,19,10
Developer  mobileEducator,0,2,10
Developer  mobileEducator,0,20,10
Developer  mobileEducator,0,21,10
Developer  mobileEducator,0,22,10
Developer  mobileEducator,0,23,10
Developer  mobileEducator,0,24,10
Developer  mobileEducator,0,25,10
