orgsize,salary
10000 or more employees,89000
100 to 499 employees,125000
20 to 99 employees,200000
20 to 99 employees,124383
10000 or more employees,37116
10000 or more employees,17880
500 to 999 employees,37325
1000 to 4999 employees,400000
10 to 19 employees,63986
I don’t know,21528
10 to 19 employees,185000
20 to 99 employees,33600
1000 to 4999 employees,65053
10000 or more employees,63384
10 to 19 employees,11208
2 to 9 employees,65000
10 to 19 employees,38388
100 to 499 employees,60000
20 to 99 employees,250000
10000 or more employees,145000
10 to 19 employees,87113
100 to 499 employees,137355
100 to 499 employees,180000
20 to 99 employees,113000
1000 to 4999 employees,101509
I don’t know,66371
2 to 9 employees,60948
10 to 19 employees,52316
5000 to 9999 employees,185000
10000 or more employees,110000
20 to 99 employees,74651
10000 or more employees,57038
10000 or more employees,80623
20 to 99 employees,31993
2 to 9 employees,30000
100 to 499 employees,110000
10 to 19 employees,44796
10000 or more employees,33408
20 to 99 employees,78084
1000 to 4999 employees,23592
Just me,27288
20 to 99 employees,100000
20 to 99 employees,99080
500 to 999 employees,67186
20 to 99 employees,49056
20 to 99 employees,100000
10000 or more employees,104750
10000 or more employees,63986
1000 to 4999 employees,99288
2 to 9 employees,48000
100 to 499 employees,54852
10000 or more employees,140000
1000 to 4999 employees,61056
100 to 499 employees,376918
10000 or more employees,10318
20 to 99 employees,82964
20 to 99 employees,57588
5000 to 9999 employees,91200
1000 to 4999 employees,76783
1000 to 4999 employees,100000
2 to 9 employees,31992
1000 to 4999 employees,99816
Just me,319931
10000 or more employees,125000
10000 or more employees,160000
1000 to 4999 employees,31620
2 to 9 employees,66119
100 to 499 employees,123141
100 to 499 employees,81666
20 to 99 employees,60948
2 to 9 employees,70000
100 to 499 employees,25104
100 to 499 employees,170000
10000 or more employees,71681
500 to 999 employees,66119
1000 to 4999 employees,80000
2 to 9 employees,31992
5000 to 9999 employees,38692
100 to 499 employees,42657
10000 or more employees,27750
Just me,115176
2 to 9 employees,485000
Just me,33300
20 to 99 employees,102000
10000 or more employees,400000
2 to 9 employees,110000
10000 or more employees,260
100 to 499 employees,115000
10000 or more employees,14952
20 to 99 employees,83000
2 to 9 employees,43884
20 to 99 employees,164000
10000 or more employees,128000
20 to 99 employees,165000
10000 or more employees,198564
100 to 499 employees,20220
1000 to 4999 employees,159966
100 to 499 employees,62520
10000 or more employees,222000
10000 or more employees,350000
100 to 499 employees,90000
20 to 99 employees,114000
100 to 499 employees,119357
20 to 99 employees,63986
10000 or more employees,105000
20 to 99 employees,65000
20 to 99 employees,165000
1000 to 4999 employees,74000
10000 or more employees,205000
10000 or more employees,34812
1000 to 4999 employees,46487
1000 to 4999 employees,180000
10 to 19 employees,60787
100 to 499 employees,136308
10 to 19 employees,82596
1000 to 4999 employees,273294
500 to 999 employees,151000
100 to 499 employees,32666
1000 to 4999 employees,180000
20 to 99 employees,93846
100 to 499 employees,160000
20 to 99 employees,130000
20 to 99 employees,150000
20 to 99 employees,32846
10000 or more employees,251279
2 to 9 employees,56304
20 to 99 employees,376920
1000 to 4999 employees,275000
10000 or more employees,163500
100 to 499 employees,91714
2 to 9 employees,33273
100 to 499 employees,250000
500 to 999 employees,108891
20 to 99 employees,5183
500 to 999 employees,130000
20 to 99 employees,26484
10000 or more employees,207000
20 to 99 employees,44784
500 to 999 employees,190000
20 to 99 employees,96360
